Year,Jurisdiction,Category,Management,Fate,Tonnes,Core or non-core,Jurisdiction_State
2020-2021,ACT,Biosolids,Other disposal,Disposal,20185.54974,Core waste,Australian Capital Territory
2020-2021,ACT,Biosolids,Recycling,Recycling,0,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Landfill,Disposal,112667.1708,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Recycling,Recycling,272286.8692,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Waste reuse,Waste reuse,133987.09,Core waste,Australian Capital Territory
2020-2021,ACT,Glass,Landfill,Disposal,7170.70259,Core waste,Australian Capital Territory
2020-2021,ACT,Glass,Recycling,Recycling,18383.44485,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Energy from waste facility,Energy recovery,2801.198415,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Landfill,Disposal,21316.74683,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Other disposal,Disposal,204.1495293,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Recycling,Recycling,6809.621137,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Disposal,896.4146459,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Energy recovery,148.8701907,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Recycling,1332.967586,Core waste,Australian Capital Territory
2020-2021,ACT,Metals,Landfill,Disposal,6891.509327,Core waste,Australian Capital Territory
2020-2021,ACT,Metals,Recycling,Recycling,51370.63876,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Landfill,Disposal,81005.18116,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Landfill,Energy recovery,35744.20957,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Recycling,Recycling,145858.9514,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Landfill,Disposal,26718.99683,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Landfill,Energy recovery,10472.51845,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Recycling,Recycling,22314.22221,Core waste,Australian Capital Territory
2020-2021,ACT,Plastics,Landfill,Disposal,24398.30894,Core waste,Australian Capital Territory
2020-2021,ACT,Plastics,Recycling,Recycling,4916.489275,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,10270.55412,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,4140.823024,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,0,Core waste,Australian Capital Territory
2020-2021,ACT,Unclassified materials,Landfill,Disposal,13055.98601,Core waste,Australian Capital Territory
2020-2021,ACT,Unclassified materials,Recycling,Recycling,28.01579742,Core waste,Australian Capital Territory
2020-2021,ACT,Unclassified materials,Waste reuse,Waste reuse,15808.45,Core waste,Australian Capital Territory
2020-2021,NSW,Ash,Other disposal,Long-term storage,1270634.007,Non-core waste,New South Wales
2020-2021,NSW,Ash,Recycling,Recycling,1918785.287,Non-core waste,New South Wales
2020-2021,NSW,Ash,Waste reuse,Waste reuse,2450000,Non-core waste,New South Wales
2020-2021,NSW,Biosolids,Other disposal,Disposal,0,Core waste,New South Wales
2020-2021,NSW,Biosolids,Recycling,Recycling,352084.4169,Core waste,New South Wales
2020-2021,NSW,Building and demolition materials,Landfill,Disposal,1660133.119,Core waste,New South Wales
2020-2021,NSW,Building and demolition materials,Recycling,Recycling,6496733.827,Core waste,New South Wales
2020-2021,NSW,Glass,Landfill,Disposal,168990.8338,Core waste,New South Wales
2020-2021,NSW,Glass,Recycling,Recycling,312759.3159,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Energy from waste facility,Energy recovery,48222.29443,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Landfill,Disposal,1543152.163,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Other disposal,Disposal,6463.265911,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Recycling,Recycling,283460.8582,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Treatment,Disposal,59298.21565,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Treatment,Energy recovery,21006.23586,Core waste,New South Wales
2020-2021,NSW,Hazardous wastes,Treatment,Recycling,159197.1826,Core waste,New South Wales
2020-2021,NSW,Metals,Landfill,Disposal,240257.6444,Core waste,New South Wales
2020-2021,NSW,Metals,Recycling,Recycling,1613329.714,Core waste,New South Wales
2020-2021,NSW,Organics,Anaerobic digestion,Recycling,25258.88,Core waste,New South Wales
2020-2021,NSW,Organics,Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2020-2021,NSW,Organics,Landfill,Disposal,1703157.681,Core waste,New South Wales
2020-2021,NSW,Organics,Landfill,Energy recovery,365932.5802,Core waste,New South Wales
2020-2021,NSW,Organics,Recycling,Recycling,2053377.355,Core waste,New South Wales
2020-2021,NSW,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2020-2021,NSW,Paper & cardboard,Landfill,Disposal,823077.0046,Core waste,New South Wales
2020-2021,NSW,Paper & cardboard,Landfill,Energy recovery,144790.487,Core waste,New South Wales
2020-2021,NSW,Paper & cardboard,Recycling,Recycling,991451.1219,Core waste,New South Wales
2020-2021,NSW,Plastics,Landfill,Disposal,614354.0626,Core waste,New South Wales
2020-2021,NSW,Plastics,Recycling,Recycling,91358.19499,Core waste,New South Wales
2020-2021,NSW,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2020-2021,NSW,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,207135.6832,Core waste,New South Wales
2020-2021,NSW,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,37259.91497,Core waste,New South Wales
2020-2021,NSW,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,3655.367518,Core waste,New South Wales
2020-2021,NSW,Unclassified materials,Landfill,Disposal,231761.2585,Core waste,New South Wales
2020-2021,NSW,Unclassified materials,Recycling,Recycling,18988.73047,Core waste,New South Wales
2020-2021,NT,Biosolids,Other disposal,Disposal,2719.945552,Core waste,Northern Territory
2020-2021,NT,Biosolids,Recycling,Recycling,12239.75498,Core waste,Northern Territory
2020-2021,NT,Building and demolition materials,Landfill,Disposal,74076.99068,Core waste,Northern Territory
2020-2021,NT,Building and demolition materials,Recycling,Recycling,16792,Core waste,Northern Territory
2020-2021,NT,Glass,Landfill,Disposal,9388.758203,Core waste,Northern Territory
2020-2021,NT,Glass,Recycling,Recycling,5453,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Energy from waste facility,Energy recovery,1068.699458,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Landfill,Disposal,50974.37442,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Other disposal,Disposal,2278.651323,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Recycling,Recycling,22411.48501,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Treatment,Disposal,5488.781622,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Treatment,Energy recovery,1305.928317,Core waste,Northern Territory
2020-2021,NT,Hazardous wastes,Treatment,Recycling,9577.694464,Core waste,Northern Territory
2020-2021,NT,Metals,Landfill,Disposal,11995.99702,Core waste,Northern Territory
2020-2021,NT,Metals,Recycling,Recycling,4514.7,Core waste,Northern Territory
2020-2021,NT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2020-2021,NT,Organics,Landfill,Disposal,118979.2712,Core waste,Northern Territory
2020-2021,NT,Organics,Landfill,Energy recovery,1883.675177,Core waste,Northern Territory
2020-2021,NT,Organics,Recycling,Recycling,7633,Core waste,Northern Territory
2020-2021,NT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2020-2021,NT,Paper & cardboard,Landfill,Disposal,36448.67135,Core waste,Northern Territory
2020-2021,NT,Paper & cardboard,Landfill,Energy recovery,467.889276,Core waste,Northern Territory
2020-2021,NT,Paper & cardboard,Recycling,Recycling,609,Core waste,Northern Territory
2020-2021,NT,Plastics,Landfill,Disposal,42273.08065,Core waste,Northern Territory
2020-2021,NT,Plastics,Recycling,Recycling,701.9209749,Core waste,Northern Territory
2020-2021,NT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2020-2021,NT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,12460.15294,Core waste,Northern Territory
2020-2021,NT,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,165.9641349,Core waste,Northern Territory
2020-2021,NT,Unclassified materials,Landfill,Disposal,0,Core waste,Northern Territory
2020-2021,NT,Unclassified materials,Waste reuse,Waste reuse,330,Core waste,Northern Territory
2020-2021,Qld,Ash,Other disposal,Long-term storage,3625031.664,Non-core waste,Queensland
2020-2021,Qld,Ash,Recycling,Recycling,5953.049808,Non-core waste,Queensland
2020-2021,Qld,Ash,Waste reuse,Waste reuse,861000,Non-core waste,Queensland
2020-2021,Qld,Biosolids,Other disposal,Disposal,0,Core waste,Queensland
2020-2021,Qld,Biosolids,Recycling,Recycling,299142.8571,Core waste,Queensland
2020-2021,Qld,Building and demolition materials,Landfill,Disposal,696164.1027,Core waste,Queensland
2020-2021,Qld,Building and demolition materials,Recycling,Recycling,1975618,Core waste,Queensland
2020-2021,Qld,Glass,Landfill,Disposal,136810.5025,Core waste,Queensland
2020-2021,Qld,Glass,Recycling,Recycling,102909.485,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Energy from waste facility,Energy recovery,29144.8819,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Landfill,Disposal,855778.015,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Other disposal,Disposal,14342.81412,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Recycling,Recycling,606876.4284,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Treatment,Disposal,82721.76541,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Treatment,Energy recovery,8976.942714,Core waste,Queensland
2020-2021,Qld,Hazardous wastes,Treatment,Recycling,92259.67541,Core waste,Queensland
2020-2021,Qld,Metals,Landfill,Disposal,160831.1636,Core waste,Queensland
2020-2021,Qld,Metals,Recycling,Recycling,970055.2781,Core waste,Queensland
2020-2021,Qld,Organics,Energy from waste facility,Energy recovery,29518,Core waste,Queensland
2020-2021,Qld,Organics,Landfill,Disposal,1329525.812,Core waste,Queensland
2020-2021,Qld,Organics,Landfill,Energy recovery,368597.1033,Core waste,Queensland
2020-2021,Qld,Organics,Recycling,Recycling,958915,Core waste,Queensland
2020-2021,Qld,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Queensland
2020-2021,Qld,Paper & cardboard,Landfill,Disposal,415857.5457,Core waste,Queensland
2020-2021,Qld,Paper & cardboard,Landfill,Energy recovery,84564.56435,Core waste,Queensland
2020-2021,Qld,Paper & cardboard,Recycling,Recycling,562065.34,Core waste,Queensland
2020-2021,Qld,Plastics,Landfill,Disposal,582663.6311,Core waste,Queensland
2020-2021,Qld,Plastics,Recycling,Recycling,37006.74935,Core waste,Queensland
2020-2021,Qld,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Queensland
2020-2021,Qld,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,137965.0628,Core waste,Queensland
2020-2021,Qld,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,28297.5122,Core waste,Queensland
2020-2021,Qld,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,30,Core waste,Queensland
2020-2021,Qld,Unclassified materials,Landfill,Disposal,0,Core waste,Queensland
2020-2021,Qld,Unclassified materials,Recycling,Recycling,0,Core waste,Queensland
2020-2021,Qld,Unclassified materials,Waste reuse,Waste reuse,13414,Core waste,Queensland
2020-2021,SA,Ash,Other disposal,Long-term storage,0,Non-core waste,South Australia
2020-2021,SA,Ash,Recycling,Recycling,0,Non-core waste,South Australia
2020-2021,SA,Ash,Waste reuse,Waste reuse,0,Non-core waste,South Australia
2020-2021,SA,Biosolids,Other disposal,Disposal,1510.822511,Core waste,South Australia
2020-2021,SA,Biosolids,Recycling,Recycling,149571.4286,Core waste,South Australia
2020-2021,SA,Building and demolition materials,Landfill,Disposal,487739.0105,Core waste,South Australia
2020-2021,SA,Building and demolition materials,Recycling,Recycling,2309416.419,Core waste,South Australia
2020-2021,SA,Building and demolition materials,Waste reuse,Waste reuse,15093,Core waste,South Australia
2020-2021,SA,Glass,Landfill,Disposal,15842.72602,Core waste,South Australia
2020-2021,SA,Glass,Recycling,Recycling,68355.94234,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Energy from waste facility,Energy recovery,12987.86861,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Landfill,Disposal,86771.27823,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Other disposal,Disposal,6826.779334,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Recycling,Recycling,137394.5702,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Treatment,Disposal,36048.97001,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Treatment,Energy recovery,7347.543655,Core waste,South Australia
2020-2021,SA,Hazardous wastes,Treatment,Recycling,152095.3706,Core waste,South Australia
2020-2021,SA,Metals,Landfill,Disposal,25789.31798,Core waste,South Australia
2020-2021,SA,Metals,Recycling,Recycling,350723.2935,Core waste,South Australia
2020-2021,SA,Organics,Energy from waste facility,Energy recovery,86000,Core waste,South Australia
2020-2021,SA,Organics,Landfill,Disposal,261484.5609,Core waste,South Australia
2020-2021,SA,Organics,Landfill,Energy recovery,56650.42417,Core waste,South Australia
2020-2021,SA,Organics,Recycling,Recycling,683642.1157,Core waste,South Australia
2020-2021,SA,Organics,Waste reuse,Waste reuse,4711.934,Core waste,South Australia
2020-2021,SA,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,South Australia
2020-2021,SA,Paper & cardboard,Landfill,Disposal,62788.65936,Core waste,South Australia
2020-2021,SA,Paper & cardboard,Landfill,Energy recovery,10732.75078,Core waste,South Australia
2020-2021,SA,Paper & cardboard,Recycling,Recycling,181226.2216,Core waste,South Australia
2020-2021,SA,Plastics,Energy from waste facility,Energy recovery,14000,Core waste,South Australia
2020-2021,SA,Plastics,Landfill,Disposal,48812.94453,Core waste,South Australia
2020-2021,SA,Plastics,Landfill,Energy recovery,0,Core waste,South Australia
2020-2021,SA,Plastics,Recycling,Recycling,32376.63761,Core waste,South Australia
2020-2021,SA,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,South Australia
2020-2021,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,34604.39558,Core waste,South Australia
2020-2021,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,6056.931957,Core waste,South Australia
2020-2021,SA,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,1560,Core waste,South Australia
2020-2021,SA,Unclassified materials,Landfill,Disposal,0,Core waste,South Australia
2020-2021,SA,Unclassified materials,Recycling,Recycling,0,Core waste,South Australia
2020-2021,SA,Unclassified materials,Waste reuse,Waste reuse,3206,Core waste,South Australia
2020-2021,Tas,Biosolids,Other disposal,Disposal,3021.645022,Core waste,Tasmania
2020-2021,Tas,Biosolids,Recycling,Recycling,30552.18855,Core waste,Tasmania
2020-2021,Tas,Building and demolition materials,Landfill,Disposal,82606.98417,Core waste,Tasmania
2020-2021,Tas,Building and demolition materials,Recycling,Recycling,1776.049599,Core waste,Tasmania
2020-2021,Tas,Glass,Landfill,Disposal,13204.72621,Core waste,Tasmania
2020-2021,Tas,Glass,Recycling,Recycling,16828.30961,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Energy from waste facility,Energy recovery,3699.455292,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Landfill,Disposal,32281.9238,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Other disposal,Disposal,11455.72859,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Recycling,Recycling,201936.9434,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Treatment,Disposal,7333.447991,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Treatment,Energy recovery,3775.243553,Core waste,Tasmania
2020-2021,Tas,Hazardous wastes,Treatment,Recycling,54615.72929,Core waste,Tasmania
2020-2021,Tas,Metals,Landfill,Disposal,17615.62242,Core waste,Tasmania
2020-2021,Tas,Metals,Recycling,Recycling,8733.213225,Core waste,Tasmania
2020-2021,Tas,Organics,Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2020-2021,Tas,Organics,Landfill,Disposal,140006.7322,Core waste,Tasmania
2020-2021,Tas,Organics,Landfill,Energy recovery,36762.98131,Core waste,Tasmania
2020-2021,Tas,Organics,Recycling,Recycling,34572.93,Core waste,Tasmania
2020-2021,Tas,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2020-2021,Tas,Paper & cardboard,Landfill,Disposal,48008.05922,Core waste,Tasmania
2020-2021,Tas,Paper & cardboard,Landfill,Energy recovery,9771.993584,Core waste,Tasmania
2020-2021,Tas,Paper & cardboard,Recycling,Recycling,44378.68585,Core waste,Tasmania
2020-2021,Tas,Plastics,Landfill,Disposal,65774.9931,Core waste,Tasmania
2020-2021,Tas,Plastics,Recycling,Recycling,4704.00865,Core waste,Tasmania
2020-2021,Tas,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2020-2021,Tas,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,18554.05736,Core waste,Tasmania
2020-2021,Tas,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,3869.810392,Core waste,Tasmania
2020-2021,Tas,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,317.1517141,Core waste,Tasmania
2020-2021,Tas,Unclassified materials,Landfill,Disposal,0,Core waste,Tasmania
2020-2021,Vic,Ash,Other disposal,Long-term storage,875650.9394,Non-core waste,Victoria
2020-2021,Vic,Ash,Recycling,Recycling,0,Non-core waste,Victoria
2020-2021,Vic,Ash,Waste reuse,Waste reuse,0,Non-core waste,Victoria
2020-2021,Vic,Biosolids,Other disposal,Disposal,176934.1029,Core waste,Victoria
2020-2021,Vic,Biosolids,Recycling,Recycling,393821.0678,Core waste,Victoria
2020-2021,Vic,Building and demolition materials,Landfill,Disposal,1254000.265,Core waste,Victoria
2020-2021,Vic,Building and demolition materials,Recycling,Recycling,6605913.221,Core waste,Victoria
2020-2021,Vic,Glass,Landfill,Disposal,197654.1361,Core waste,Victoria
2020-2021,Vic,Glass,Recycling,Recycling,311658.2943,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Energy from waste facility,Energy recovery,49504.36397,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Landfill,Disposal,903146.0857,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Other disposal,Disposal,7157.111123,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Recycling,Recycling,352173.55,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Treatment,Disposal,169199.4739,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Treatment,Energy recovery,12603.50158,Core waste,Victoria
2020-2021,Vic,Hazardous wastes,Treatment,Recycling,422044.0406,Core waste,Victoria
2020-2021,Vic,Metals,Landfill,Disposal,177353.524,Core waste,Victoria
2020-2021,Vic,Metals,Recycling,Recycling,1441992.853,Core waste,Victoria
2020-2021,Vic,Organics,Anaerobic digestion,Recycling,31322.2209,Core waste,Victoria
2020-2021,Vic,Organics,Energy from waste facility,Energy recovery,2280.792,Core waste,Victoria
2020-2021,Vic,Organics,Landfill,Disposal,1355125.03,Core waste,Victoria
2020-2021,Vic,Organics,Landfill,Energy recovery,428899.3245,Core waste,Victoria
2020-2021,Vic,Organics,Recycling,Recycling,1106121.007,Core waste,Victoria
2020-2021,Vic,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Victoria
2020-2021,Vic,Paper & cardboard,Landfill,Disposal,499672.4985,Core waste,Victoria
2020-2021,Vic,Paper & cardboard,Landfill,Energy recovery,130201.3408,Core waste,Victoria
2020-2021,Vic,Paper & cardboard,Recycling,Recycling,1146150.082,Core waste,Victoria
2020-2021,Vic,Plastics,Landfill,Disposal,554231.5075,Core waste,Victoria
2020-2021,Vic,Plastics,Recycling,Recycling,143222,Core waste,Victoria
2020-2021,Vic,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Victoria
2020-2021,Vic,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,170673.878,Core waste,Victoria
2020-2021,Vic,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,45623.29574,Core waste,Victoria
2020-2021,Vic,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,32676.51758,Core waste,Victoria
2020-2021,Vic,Unclassified materials,Landfill,Disposal,0,Core waste,Victoria
2020-2021,Vic,Unclassified materials,Recycling,Recycling,0,Core waste,Victoria
2020-2021,WA,Ash,Other disposal,Long-term storage,228813.3895,Non-core waste,Western Australia
2020-2021,WA,Ash,Recycling,Recycling,786722.663,Non-core waste,Western Australia
2020-2021,WA,Ash,Waste reuse,Waste reuse,0,Non-core waste,Western Australia
2020-2021,WA,Biosolids,Other disposal,Disposal,29510.93468,Core waste,Western Australia
2020-2021,WA,Biosolids,Recycling,Recycling,132799.2061,Core waste,Western Australia
2020-2021,WA,Building and demolition materials,Landfill,Disposal,573457.5699,Core waste,Western Australia
2020-2021,WA,Building and demolition materials,Recycling,Recycling,2401494,Core waste,Western Australia
2020-2021,WA,Glass,Landfill,Disposal,81121.80486,Core waste,Western Australia
2020-2021,WA,Glass,Recycling,Recycling,69779.78,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Energy from waste facility,Energy recovery,21315.77087,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Landfill,Disposal,220668.0817,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Other disposal,Disposal,5051.241008,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Recycling,Recycling,375942.4837,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Treatment,Disposal,50990.31719,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Treatment,Energy recovery,14674.53075,Core waste,Western Australia
2020-2021,WA,Hazardous wastes,Treatment,Recycling,75257.24419,Core waste,Western Australia
2020-2021,WA,Metals,Landfill,Disposal,98332.06473,Core waste,Western Australia
2020-2021,WA,Metals,Recycling,Recycling,532564.2982,Core waste,Western Australia
2020-2021,WA,Metals,Waste reuse,Waste reuse,998,Core waste,Western Australia
2020-2021,WA,Organics,Anaerobic digestion,Recycling,18157,Core waste,Western Australia
2020-2021,WA,Organics,Energy from waste facility,Energy recovery,19329,Core waste,Western Australia
2020-2021,WA,Organics,Landfill,Disposal,903474.6625,Core waste,Western Australia
2020-2021,WA,Organics,Landfill,Energy recovery,110353.2703,Core waste,Western Australia
2020-2021,WA,Organics,Recycling,Recycling,317142.2505,Core waste,Western Australia
2020-2021,WA,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2020-2021,WA,Paper & cardboard,Landfill,Disposal,271895.2923,Core waste,Western Australia
2020-2021,WA,Paper & cardboard,Landfill,Energy recovery,25507.51534,Core waste,Western Australia
2020-2021,WA,Paper & cardboard,Recycling,Recycling,206792.3284,Core waste,Western Australia
2020-2021,WA,Plastics,Landfill,Disposal,343986.5881,Core waste,Western Australia
2020-2021,WA,Plastics,Recycling,Recycling,22041,Core waste,Western Australia
2020-2021,WA,Plastics,Waste reuse,Waste reuse,1090,Core waste,Western Australia
2020-2021,WA,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2020-2021,WA,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,86926.69131,Core waste,Western Australia
2020-2021,WA,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,8394.867409,Core waste,Western Australia
2020-2021,WA,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,6614,Core waste,Western Australia
2020-2021,WA,Unclassified materials,Recycling,Recycling,0,Core waste,Western Australia
2020-2021,WA,Unclassified materials,Waste reuse,Waste reuse,6522,Core waste,Western Australia
2019-2020,ACT,Biosolids,Other disposal,Disposal,20185.54974,Core waste,Australian Capital Territory
2019-2020,ACT,Biosolids,Recycling,Recycling,0,Core waste,Australian Capital Territory
2019-2020,ACT,Building and demolition materials,Landfill,Disposal,121163.4975,Core waste,Australian Capital Territory
2019-2020,ACT,Building and demolition materials,Recycling,Recycling,298897.9747,Core waste,Australian Capital Territory
2019-2020,ACT,Building and demolition materials,Waste reuse,Waste reuse,195857.94,Core waste,Australian Capital Territory
2019-2020,ACT,Glass,Landfill,Disposal,6537.889966,Core waste,Australian Capital Territory
2019-2020,ACT,Glass,Recycling,Recycling,18205.94967,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Energy from waste facility,Energy recovery,2750,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Landfill,Disposal,31209.58184,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Other disposal,Disposal,236.0134707,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Recycling,Recycling,6910.771193,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Treatment,Disposal,1611.354988,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Treatment,Energy recovery,253.9573781,Core waste,Australian Capital Territory
2019-2020,ACT,Hazardous wastes,Treatment,Recycling,5041.758429,Core waste,Australian Capital Territory
2019-2020,ACT,Metals,Landfill,Disposal,6426.624653,Core waste,Australian Capital Territory
2019-2020,ACT,Metals,Recycling,Recycling,64718.92566,Core waste,Australian Capital Territory
2019-2020,ACT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2019-2020,ACT,Organics,Landfill,Disposal,87994.32832,Core waste,Australian Capital Territory
2019-2020,ACT,Organics,Landfill,Energy recovery,21758.28447,Core waste,Australian Capital Territory
2019-2020,ACT,Organics,Recycling,Recycling,158196.8258,Core waste,Australian Capital Territory
2019-2020,ACT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2019-2020,ACT,Paper & cardboard,Landfill,Disposal,27853.72824,Core waste,Australian Capital Territory
2019-2020,ACT,Paper & cardboard,Landfill,Energy recovery,6412.772504,Core waste,Australian Capital Territory
2019-2020,ACT,Paper & cardboard,Recycling,Recycling,21021.14098,Core waste,Australian Capital Territory
2019-2020,ACT,Plastics,Landfill,Disposal,22517.41099,Core waste,Australian Capital Territory
2019-2020,ACT,Plastics,Recycling,Recycling,2897.983568,Core waste,Australian Capital Territory
2019-2020,ACT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2019-2020,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,10725.76708,Core waste,Australian Capital Territory
2019-2020,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,2531.68787,Core waste,Australian Capital Territory
